--------------------------------------------------【Header】--------------------------------------------------
2022-07-23 12:40:59,124 INFO  [35964-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:3  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 12:40:59,125 INFO  [35964-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY4  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-07-23 12:40:59,126 INFO  [35964-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:4  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 12:40:59,127 INFO  [35964-6] DisplayInfoGet  [{"DeviceInstanceId":"DISPLAY\\MSI3CA3\\5&14475071&0&UID4356","Description":"Generic PnP Monitor","DisplayIndex":1,"MonitorIndex":0}]  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(52行)
2022-07-23 12:40:59,128 INFO  [35964-6] DisplayInfoGet  GetDisplayList()获取到显示器数量：1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(89行)
2022-07-23 12:41:02,439 INFO  [35964-25] DisplayManage  修改外屏亮度为：34  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:41:03,352 INFO  [35964-26] DisplayManage  修改外屏亮度为：56  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:41:11,772 INFO  [35964-26] DisplayManage  修改外屏亮度为：95  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:41:12,598 INFO  [35964-26] DisplayManage  修改外屏亮度为：35  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:41:16,712 INFO  [35964-26] DisplayManage  修改外屏亮度为：91  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:41:17,572 INFO  [35964-26] DisplayManage  修改外屏亮度为：37  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:41:18,496 INFO  [35964-26] DisplayManage  修改外屏亮度为：16  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:41:19,334 INFO  [35964-26] DisplayManage  修改外屏亮度为：86  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:41:20,168 INFO  [35964-26] DisplayManage  修改外屏亮度为：16  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:41:21,139 INFO  [35964-25] DisplayManage  修改外屏亮度为：88  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:41:40,106 INFO  [35964-6] DisplayManage  修改外屏亮度为：100  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:42:00,297 INFO  [35964-6] DisplayManage  修改外屏亮度为：40  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:42:03,984 INFO  [35964-32] DisplayManage  修改外屏亮度为：13  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:42:04,618 INFO  [35964-6] DisplayManage  修改外屏亮度为：61  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:42:05,479 INFO  [35964-6] DisplayManage  修改外屏亮度为：86  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:42:20,737 INFO  [35964-6] DisplayManage  修改外屏亮度为：43  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:42:21,597 INFO  [35964-6] DisplayManage  修改外屏亮度为：17  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:42:23,493 INFO  [35964-32] DisplayManage  修改外屏亮度为：89  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:42:26,188 INFO  [35964-32] DisplayManage  修改外屏亮度为：55  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:42:27,027 INFO  [35964-6] DisplayManage  修改外屏亮度为：22  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:43:18,690 INFO  [35964-29] DisplayManage  修改外屏亮度为：66  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Manage\DisplayManage.cs(40行)
2022-07-23 12:44:22,127 INFO  [35964-6] DisplayInfo  DisplayInformation.GetDisplayMonitorsAsync() 获取到设备数量：2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfo.cs(63行)
2022-07-23 12:44:22,128 INFO  [35964-6] DisplayInfo  [{"DeviceInstanceId":"DISPLAY\\MSI3CA3\\5&14475071&0&UID4356","DisplayName":"MSI PAG271CQR","IsInternal":false,"ConnectionDescription":"HDMI","PhysicalSize":26.9708023},{"DeviceInstanceId":"DISPLAY\\CSO1609\\5&14475071&0&UID4357","DisplayName":"","IsInternal":true,"ConnectionDescription":"Internal","PhysicalSize":16.0043125}]  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfo.cs(65行)
2022-07-23 12:44:22,129 INFO  [35964-6] DisplayInfoGet   DisplayInfo.GetDisplayMonitorsAsync()获取到显示器数量：2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(48行)
